,Alice_Springs_2008,Alice_Springs_2009,Alice_Springs_2010,Alice_Springs_2011,Alice_Springs_2012,Alice_Springs_2013,Alice_Springs_2014,Alice_Springs_2015,Alice_Springs_2016,Alice_Springs_2017,Alice_Springs_2018,Alice_Springs_2019,Alice_Springs_2020,Alice_Springs_2021,Alice_Springs_2022,Alice_Springs_2023,Alice_Springs_2024,Alice_Springs_2025,Alice_Springs_2026
timestamp,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
205_Archived_DKA_M15_BPhase_UMG_QCells_Active_Energy_Delivered_Received,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
205_Archived_DKA_M15_BPhase_UMG_QCells_Current_Phase_Average,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
205_Archived_DKA_M15_BPhase_UMG_QCells_Active_Power,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
100_DKA_M1_A_Phase_Active_Energy_Delivered_Received,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
100_DKA_M1_A_Phase_Current_Phase_Average,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
100_DKA_M1_A_Phase_Active_Power,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
100_DKA_M1_A_Phase_Performance_Ratio,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
103_DKA_M1_B_Phase_Active_Energy_Delivered_Received,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
103_DKA_M1_B_Phase_Current_Phase_Average,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
103_DKA_M1_B_Phase_Active_Power,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
105_DKA_M1_C_Phase_Active_Energy_Delivered_Received,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
105_DKA_M1_C_Phase_Current_Phase_Average,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
105_DKA_M1_C_Phase_Active_Power,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
97_DKA_M10_B_C_Phases_Active_Energy_Delivered_Received,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
97_DKA_M10_B_C_Phases_Current_Phase_Average,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
97_DKA_M10_B_C_Phases_Active_Power,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
78_DKA_M11_3_Phase_Active_Energy_Delivered_Received,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
78_DKA_M11_3_Phase_Current_Phase_Average,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
78_DKA_M11_3_Phase_Active_Power,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
61_DKA_M15_A_Phase_Active_Energy_Delivered_Received,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
61_DKA_M15_A_Phase_Current_Phase_Average,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
61_DKA_M15_A_Phase_Active_Power,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
61_DKA_M15_A_Phase_Performance_Ratio,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
72_DKA_M15_B_Phase_Active_Energy_Delivered_Received,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
